Rank,Name,Position,MLB Team,Unique score,,,
1,Roman Anthony,CF,SF,9.98,,,
2,Noah Schultz,SP,KC,9.97,,,
3,Walker Jenkins,CF,CLE,9.96,,,
4,Andrew Painter,SP,OAK,9.96,,,
5,Bubba Chandler,SP,WSH,9.96,,,
6,Chase Dollander,SP,LAA,9.95,,,
7,Sebastian Walcott,3B,OAK,9.91,,,
8,Chase Burns,SP,DET,9.90,,,
9,Thomas White,SP,COL,9.89,,,
10,Bryce Eldridge,1B,COL,9.87,,,
11,Hagen Smith,SP,MIL,9.86,,,
12,Leodalis De Vries,SS,SD,9.85,,,
13,Travis Bazzana,2B,HOU,9.84,,,
14,Max Clark,LF,MIN,9.84,,,
15,Konnor Griffin,SS,SF,9.82,,,
16,Carson Williams,SS,DET,9.80,,,
17,Colson Montgomery,SS,HOU,9.79,,,
18,Samuel Basallo,C,KC,9.78,,,
19,Kristian Campbell,2B,ARI,9.75,,,
20,Cade Horton,SP,TB,9.71,,,
21,Jett Williams,SS,NYY,9.69,,,
22,Emmanuel Rodriguez,CF,DET,9.69,,,
23,Jarlin Susana,SP,CWS,9.67,,,
24,Jesus Made,SS,LAD,9.64,,,
25,Charlie Condon,3B,TOR,9.62,,,
26,Ricky Tiedemann,SP,BAL,9.59,,,
27,Dalton Rushing,C,PIT,9.58,,,
28,Bryce Rainer,SS,KC,9.58,,,
29,Kevin McGonigle,SS,SF,9.58,,,
30,Felnin Celesten,SS,HOU,9.54,,,
31,Jac Caglianone,1B,HOU,9.52,,,
32,Santiago Suarez,SP,LAD,9.50,,,
33,Nick Kurtz,1B,CLE,9.50,,,
34,JJ Wetherholt,SS,BOS,9.48,,,
35,Xavier Isaac,1B,CWS,9.42,,,
36,Colt Emerson,SS,PIT,9.35,,,
37,Brailer Guerrero,RF,ATL,9.34,,,
38,Alejandro Rosario,SP,BAL,9.31,,,
39,Tink Hence,SP,DET,9.31,,,
40,Josue De Paula,RF,MIN,9.30,,,
41,Matt Shaw,2B,PIT,9.30,,,
42,Jaison Chourio,CF,PIT,9.30,,,
43,Moises Ballesteros,C,PIT,9.27,,,
44,Alex Freeland,SS,SF,9.24,,,
45,Cole Carrigg,CF,STL,9.23,,,
46,Brady House,3B,ATL,9.22,,,
47,Starlyn Caba,SS,OAK,9.19,,,
48,Robert Calaz,CF,STL,9.18,,,
49,Gary Gill Hill,SP,TB,9.17,,,
50,Quinn Mathews,SP,LAA,9.17,,,
51,Marcelo Mayer,SS,CWS,9.16,,,
52,Jackson Ferris,SP,KC,9.11,,,
53,Daniel Espino,SP,BAL,9.09,,,
54,Cam Smith,3B,SF,9.06,,,
55,Thomas Harrington,SP,ATL,9.05,,,
56,Robby Snelling,SP,PIT,9.04,,,
57,Trevor Harrison,SP,STL,9.00,,,
58,Zyhir Hope,LF,LAA,8.99,,,
59,Jacob Misiorowski,SP,COL,8.95,,,
60,Luis Perales,SP,BOS,8.95,,,
