Player,Team,Position,From,To,Date (EDT),Period,Unique
Trea Turner,PHI,SS,Chicago Cubs,Saint Louis Cardinals,"Thu Jun 5, 2025, 4:11PM",72,1
"2026 Draft Pick, Round 3 (Colorado Rockies)",,,Saint Louis Cardinals,Chicago Cubs,"Thu Jun 5, 2025, 4:11PM",72,1
Bo Bichette,TOR,SS,Saint Louis Cardinals,Chicago Cubs,"Thu Jun 5, 2025, 4:11PM",72,1
"2027 Draft Pick, Round 2 (Texas Rangers)",,,Texas Rangers,Baltimore Orioles,"Thu Jun 5, 2025, 11:43AM",71,2
Corbin Burnes,ARI,SP,Texas Rangers,Baltimore Orioles,"Thu Jun 5, 2025, 11:43AM",71,2
Willy Adames,SF,SS,Cleveland Guardians,Texas Rangers,"Wed Jun 4, 2025, 8:40PM",71,2
Chris Paddack,MIN,SP,Cleveland Guardians,Texas Rangers,"Wed Jun 4, 2025, 8:40PM",71,2
Zac Gallen,ARI,SP,Cleveland Guardians,Texas Rangers,"Wed Jun 4, 2025, 8:40PM",71,2
Nico Hoerner,CHC,"2B,SS",Cleveland Guardians,Texas Rangers,"Wed Jun 4, 2025, 8:40PM",71,2
Dylan Moore,SEA,"1B,2B,3B,SS,LF,RF",Cleveland Guardians,Texas Rangers,"Wed Jun 4, 2025, 8:40PM",71,2
Jon Berti,CHC,"2B,3B",Texas Rangers,Cleveland Guardians,"Wed Jun 4, 2025, 8:40PM",71,3
James Outman,LAD,CF,Texas Rangers,Cleveland Guardians,"Wed Jun 4, 2025, 8:40PM",71,3
Thairo Estrada,COL,2B,Texas Rangers,Cleveland Guardians,"Wed Jun 4, 2025, 8:40PM",71,3
Oneil Cruz,PIT,"SS,CF",Texas Rangers,Cleveland Guardians,"Wed Jun 4, 2025, 8:40PM",71,3
Bishop Letson,MIL,SP,Athletics,Cleveland Guardians,"Wed Jun 4, 2025, 8:32AM",70,3
Fernando Cruz,NYY,"SP,RP",Cleveland Guardians,Athletics,"Wed Jun 4, 2025, 8:32AM",70,3
"2026 Draft Pick, Round 3 (Atlanta Braves)",,,Cleveland Guardians,Athletics,"Wed Jun 4, 2025, 8:32AM",70,3
Bryce Harper,PHI,1B,Boston Red Sox,Chicago Cubs,"Wed Jun 4, 2025, 12:46AM",70,4
Kris Bryant,COL,"1B,RF",Chicago Cubs,Boston Red Sox,"Wed Jun 4, 2025, 12:46AM",70,4
Ronel Blanco,HOU,SP,Chicago Cubs,Boston Red Sox,"Wed Jun 4, 2025, 12:46AM",70,4
Leonardo Bernal,STL,C,Chicago Cubs,Boston Red Sox,"Wed Jun 4, 2025, 12:46AM",70,4
Jake Meyers,HOU,CF,Chicago Cubs,Boston Red Sox,"Wed Jun 4, 2025, 12:46AM",70,4
Louie Varland,MIN,"SP,RP",Boston Red Sox,Washington Nationals,"Wed Jun 4, 2025, 12:12AM",70,5
Braxton Ashcraft,PIT,"SP,RP",Boston Red Sox,Washington Nationals,"Wed Jun 4, 2025, 12:12AM",70,5
Eriq Swan,LAD,SP,Washington Nationals,Boston Red Sox,"Wed Jun 4, 2025, 12:12AM",70,5
Nacho Alvarez,ATL,2B,Washington Nationals,Boston Red Sox,"Wed Jun 4, 2025, 12:12AM",70,5
"2027 Draft Pick, Round 1 (Athletics)",,,Athletics,Miami Marlins,"Tue Jun 3, 2025, 9:28PM",70,6
"2026 Draft Pick, Round 2 (Milwaukee Brewers)",,,Miami Marlins,Athletics,"Tue Jun 3, 2025, 9:28PM",70,6
Matthew Liberatore,STL,"SP,RP",Miami Marlins,Athletics,"Tue Jun 3, 2025, 9:28PM",70,6
"2028 Draft Pick, Round 4 (Chicago Cubs)",,,Chicago Cubs,Cleveland Guardians,"Tue Jun 3, 2025, 4:04PM",1,7
"2026 Draft Pick, Round 5 (Chicago Cubs)",,,Cleveland Guardians,Chicago Cubs,"Tue Jun 3, 2025, 4:04PM",1,7
Budget Amount: $1.00,,,Cleveland Guardians,Chicago Cubs,"Tue Jun 3, 2025, 4:04PM",1,7
"2026 Draft Pick, Round 3 (Toronto Blue Jays)",,,Chicago Cubs,Tampa Bay Rays,"Tue Jun 3, 2025, 3:13PM",69,8
Brandon Sproat,NYM,SP,Chicago Cubs,Tampa Bay Rays,"Tue Jun 3, 2025, 3:13PM",69,8
Andrew Heaney,PIT,SP,Tampa Bay Rays,Chicago Cubs,"Tue Jun 3, 2025, 3:13PM",69,8
Andre Pallante,STL,"SP,RP",Tampa Bay Rays,Chicago Cubs,"Tue Jun 3, 2025, 3:13PM",69,8
Mike Soroka,WSH,"SP,RP",Chicago Cubs,Toronto Blue Jays,"Tue Jun 3, 2025, 3:10PM",69,9
Tyler Glasnow,LAD,SP,Toronto Blue Jays,Chicago Cubs,"Tue Jun 3, 2025, 3:10PM",69,9
Budget Amount: $6.00,,,Toronto Blue Jays,Chicago Cubs,"Tue Jun 3, 2025, 3:10PM",69,9
Andrew Morris,MIN,SP,San Diego Padres,Tampa Bay Rays,"Tue Jun 3, 2025, 2:58PM",69,10
"2027 Draft Pick, Round 2 (San Diego Padres)",,,San Diego Padres,Tampa Bay Rays,"Tue Jun 3, 2025, 2:58PM",69,10
"2027 Draft Pick, Round 4 (Tampa Bay Rays)",,,Tampa Bay Rays,San Diego Padres,"Tue Jun 3, 2025, 2:58PM",69,10
Pavin Smith,ARI,"1B,LF,RF",Tampa Bay Rays,San Diego Padres,"Tue Jun 3, 2025, 2:58PM",69,10
Kevin Alcantara,CHC,RF,Athletics,Houston Astros,"Tue Jun 3, 2025, 1:58PM",69,11
Luke Dickerson,WSH,SS,Athletics,Houston Astros,"Tue Jun 3, 2025, 1:58PM",69,11
Max Muncy,LAD,3B,Houston Astros,Athletics,"Tue Jun 3, 2025, 1:58PM",69,11
J.T. Ginn,ATH,SP,Houston Astros,Athletics,"Tue Jun 3, 2025, 1:58PM",69,11
Budget Amount: $5.00,,,Houston Astros,Athletics,"Tue Jun 3, 2025, 1:58PM",69,11
"2027 Draft Pick, Round 2 (Athletics)",,,Athletics,Cleveland Guardians,"Tue Jun 3, 2025, 1:53PM",69,12
Aroon Escobar,PHI,2B,Athletics,Cleveland Guardians,"Tue Jun 3, 2025, 1:53PM",69,12
"2026 Draft Pick, Round 4 (Los Angeles Angels)",,,Cleveland Guardians,Athletics,"Tue Jun 3, 2025, 1:53PM",69,12
Yusei Kikuchi,LAA,SP,Cleveland Guardians,Athletics,"Tue Jun 3, 2025, 1:53PM",69,12
Kale Fountain,SD,3B,Athletics,Boston Red Sox,"Tue Jun 3, 2025, 11:46AM",69,13
Aidan Smith,TB,"CF,RF",Athletics,Boston Red Sox,"Tue Jun 3, 2025, 11:46AM",69,13
Luke Jackson,TEX,RP,Athletics,Boston Red Sox,"Tue Jun 3, 2025, 11:46AM",69,13
Kohl Drake,TEX,SP,Athletics,Boston Red Sox,"Tue Jun 3, 2025, 11:46AM",69,13
"2026 Draft Pick, Round 3 (Boston Red Sox)",,,Boston Red Sox,Athletics,"Tue Jun 3, 2025, 11:46AM",69,13
Jarren Duran,BOS,"LF,CF",Boston Red Sox,Athletics,"Tue Jun 3, 2025, 11:46AM",69,13
Budget Amount: $3.00,,,Boston Red Sox,Kansas City Royals,"Tue Jun 3, 2025, 11:17AM",69,14
