Rk,Team,W-L-T,Win%,FPts
1,Saint Louis Cardinals,50-10-0,0.833,20807.51
2,Pittsburgh Pirates,40-19-1,0.675,19021
3,Chicago Cubs,38-22-0,0.633,17623.5
4,Milwaukee Brewers,18-42-0,0.3,14190
5,Cincinnati Reds,10-50-0,0.167,11610
1,Minnesota Twins,47-13-0,0.783,18349.5
2,Detroit Tigers,43-17-0,0.717,19507.5
3,Kansas City Royals,28-32-0,0.467,16344
4,Cleveland Guardians,12-48-0,0.2,13065.5
5,Chicago White Sox,4-56-0,0.067,10154
1,Baltimore Orioles,48-12-0,0.8,19572.5
2,New York Yankees,41-19-0,0.683,19007.5
3,Toronto Blue Jays,35-25-0,0.583,18135
4,Tampa Bay Rays,22-38-0,0.367,14146.5
5,Boston Red Sox,16-44-0,0.267,13814.5
1,Seattle Mariners,38-22-0,0.633,18000.5
2,Las Vegas Athletics,33-27-0,0.55,17944.5
3,Houston Astros,18-42-0,0.3,14512.5
4,Los Angeles Angels,17-43-0,0.283,13338.5
5,Texas Rangers,11-49-0,0.183,13000.5
1,New York Mets,50-10-0,0.833,19476
2,Philadelphia Phillies,45-15-0,0.75,19906.01
3,Miami Marlins,34-26-0,0.567,17526.5
4,Washington Nationals,33-27-0,0.55,18508
5,Atlanta Braves,14-46-0,0.233,13409.5
1,San Francisco Giants,49-11-0,0.817,20249.5
2,Los Angeles Dodgers,46-13-1,0.775,20718
3,San Diego Padres,24-36-0,0.4,15470.5
4,Colorado Rockies,18-42-0,0.3,13809.5
5,Arizona Diamondbacks,17-43-0,0.283,13687.5
