#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
1,Aaron Judge,NYY,146,639,521,146,26,1,48,105,118,106,167,6,6,2,16.60%,26.10%,0.33,0.316,0.281,0.405,0.61,1.015,0.423,181,3.4
2,Bobby Witt Jr.,KCR,153,667,606,180,36,7,32,109,98,48,111,6,39,9,7.20%,16.70%,0.243,0.316,0.297,0.352,0.54,0.892,0.377,144,1.5
3,Gunnar Henderson,BAL,152,664,582,157,32,5,31,99,92,71,153,6,16,4,10.80%,23.00%,0.232,0.313,0.27,0.353,0.501,0.854,0.365,143,6.2
4,Juan Soto,NYM,153,674,538,146,28,2,34,104,94,127,117,4,8,3,18.80%,17.40%,0.248,0.286,0.271,0.412,0.52,0.931,0.399,162,7.7
5,Shohei Ohtani,LAD,145,643,552,159,31,4,42,116,110,81,144,5,33,9,12.50%,22.40%,0.299,0.316,0.288,0.382,0.587,0.969,0.405,164,1.6
6,Mookie Betts,LAD,148,652,564,156,32,3,27,95,89,74,87,7,13,4,11.40%,13.40%,0.211,0.283,0.276,0.365,0.487,0.852,0.367,138,12.4
7,Corey Seager,TEX,127,549,483,137,27,1,32,77,88,55,96,5,1,0,10.00%,17.40%,0.258,0.293,0.284,0.36,0.542,0.902,0.38,151,49.2
8,Yordan Alvarez,HOU,136,591,506,149,29,1,38,91,102,70,99,9,2,1,11.80%,16.70%,0.287,0.296,0.294,0.385,0.581,0.966,0.405,170,17.8
9,Vladimir Guerrero Jr.,TOR,154,667,587,176,33,1,33,97,103,67,92,7,6,2,10.10%,13.80%,0.23,0.306,0.3,0.376,0.53,0.906,0.385,156,14
10,José Ramírez,CLE,153,661,591,160,34,4,28,93,89,59,76,4,31,9,8.90%,11.50%,0.211,0.268,0.271,0.338,0.482,0.819,0.347,129,5.1
11,William Contreras,MIL,148,619,547,144,28,1,24,75,88,63,135,5,5,2,10.20%,21.80%,0.185,0.307,0.264,0.344,0.449,0.793,0.344,121,24.3
12,Julio Rodríguez,SEA,147,641,581,159,26,4,27,90,84,47,154,9,29,7,7.30%,24.00%,0.201,0.327,0.274,0.336,0.475,0.81,0.348,135,13.7
13,Ronald Acuña Jr.,ATL,116,520,449,134,26,1,25,92,70,59,93,8,37,12,11.30%,17.80%,0.23,0.327,0.299,0.388,0.528,0.916,0.392,152,31.9
14,Francisco Lindor,NYM,153,671,591,150,31,2,29,93,85,60,131,10,22,7,8.90%,19.50%,0.205,0.278,0.254,0.33,0.459,0.789,0.34,122,15
15,Cal Raleigh,SEA,142,572,505,107,22,1,27,63,81,58,162,5,3,1,10.20%,28.20%,0.21,0.25,0.213,0.298,0.423,0.72,0.311,109,87.8
16,Fernando Tatis Jr.,SDP,146,632,563,154,31,3,31,98,90,57,142,7,25,7,9.00%,22.40%,0.231,0.311,0.273,0.345,0.504,0.849,0.363,138,10.9
17,Adley Rutschman,BAL,146,613,537,137,26,2,18,72,71,66,98,5,2,1,10.80%,15.90%,0.155,0.279,0.255,0.339,0.41,0.749,0.327,116,64.9
18,Austin Riley,ATL,150,649,578,157,31,3,33,92,98,55,155,10,2,1,8.50%,23.80%,0.236,0.313,0.272,0.343,0.508,0.851,0.363,133,30
19,Ketel Marte,ARI,141,614,538,148,32,3,26,84,92,65,111,6,6,2,10.50%,18.00%,0.215,0.3,0.275,0.356,0.49,0.846,0.362,132,32.4
20,Matt Chapman,SFG,148,624,550,134,30,2,30,84,85,63,160,7,7,2,10.10%,25.60%,0.227,0.286,0.244,0.327,0.472,0.798,0.343,123,130.2
21,Kyle Tucker,CHC,148,640,551,149,29,3,27,90,90,79,99,3,20,7,12.30%,15.40%,0.211,0.284,0.271,0.362,0.482,0.844,0.361,135,8.1
22,Will Smith,LAD,123,503,437,115,23,1,21,66,71,49,93,10,2,1,9.70%,18.40%,0.205,0.284,0.262,0.346,0.467,0.813,0.35,127,104.6
23,Jackson Merrill,SDP,152,631,583,160,33,4,23,83,82,37,111,3,15,4,5.90%,17.60%,0.189,0.302,0.275,0.319,0.463,0.782,0.334,118,25.3
24,Francisco Alvarez,NYM,123,465,416,93,17,1,18,51,56,40,119,6,1,1,8.60%,25.60%,0.173,0.265,0.223,0.299,0.396,0.695,0.304,97,154.5
