AL West,Texas Rangers
AL West,Seattle Mariners
AL West,Houston Astros
AL West,Athletics
AL West,Los Angeles Angels
AL Central,Cleveland Guardians
AL Central,Detroit Tigers
AL Central,Minnesota Twins
AL Central,Chicago White Sox
AL Central,Kansas City Royals
AL East,Toronto Blue Jays
AL East,New York Yankees
AL East,Tampa Bay Rays
AL East,Baltimore Orioles
AL East,Boston Red Sox
NL Central,Saint Louis Cardinals
NL Central,Pittsburgh Pirates
NL Central,Chicago Cubs
NL Central,Cincinnati Reds
NL Central,Milwaukee Brewers
NL East,Atlanta Braves
NL East,Washington Nationals
NL East,Miami Marlins
NL East,New York Mets
NL East,Philadelphia Phillies
NL West,Los Angeles Dodgers
NL West,Colorado Rockies
NL West,Arizona Diamondbacks
NL West,San Diego Padres
NL West,San Francisco Giants
