Scoring Period,Away,Home
1,Seattle Mariners,Baltimore Orioles
1,Seattle Mariners,Boston Red Sox
1,Seattle Mariners,Pittsburgh Pirates
1,Kansas City Royals,Minnesota Twins
1,Kansas City Royals,Miami Marlins
1,Kansas City Royals,Tampa Bay Rays
1,Texas Rangers,Baltimore Orioles
1,Texas Rangers,Minnesota Twins
1,Texas Rangers,Miami Marlins
1,Milwaukee Brewers,Chicago White Sox
1,Milwaukee Brewers,Toronto Blue Jays
1,Milwaukee Brewers,Cleveland Guardians
1,Houston Astros,Washington Nationals
1,Houston Astros,Chicago White Sox
1,Houston Astros,Cleveland Guardians
1,Saint Louis Cardinals,Toronto Blue Jays
1,Saint Louis Cardinals,Athletics
1,Saint Louis Cardinals,Cleveland Guardians
1,Washington Nationals,San Diego Padres
1,Los Angeles Angels,Detroit Tigers
1,Los Angeles Angels,Los Angeles Dodgers
1,Philadelphia Phillies,Detroit Tigers
1,Philadelphia Phillies,Pittsburgh Pirates
1,Philadelphia Phillies,Los Angeles Dodgers
1,Detroit Tigers,Arizona Diamondbacks
1,Chicago Cubs,New York Yankees
1,Chicago Cubs,Toronto Blue Jays
1,Chicago Cubs,Athletics
1,New York Mets,Arizona Diamondbacks
1,New York Mets,New York Yankees
1,New York Mets,Athletics
1,Tampa Bay Rays,Miami Marlins
1,Tampa Bay Rays,San Diego Padres
1,Cincinnati Reds,Boston Red Sox
1,Cincinnati Reds,Pittsburgh Pirates
1,Cincinnati Reds,Los Angeles Dodgers
1,Colorado Rockies,Arizona Diamondbacks
1,Colorado Rockies,New York Yankees
1,Colorado Rockies,Los Angeles Angels
1,Atlanta Braves,Washington Nationals
1,Atlanta Braves,Chicago White Sox
1,Atlanta Braves,San Diego Padres
1,San Francisco Giants,Baltimore Orioles
1,San Francisco Giants,Minnesota Twins
1,San Francisco Giants,Boston Red Sox
2,Kansas City Royals,Texas Rangers
2,Kansas City Royals,San Francisco Giants
2,Baltimore Orioles,Los Angeles Angels
2,Baltimore Orioles,Philadelphia Phillies
2,Baltimore Orioles,Cincinnati Reds
2,Houston Astros,Milwaukee Brewers
2,Minnesota Twins,Seattle Mariners
2,Minnesota Twins,Philadelphia Phillies
2,Minnesota Twins,Cincinnati Reds
2,New York Yankees,Detroit Tigers
2,New York Yankees,Los Angeles Dodgers
2,Washington Nationals,Milwaukee Brewers
2,Washington Nationals,Saint Louis Cardinals
2,Washington Nationals,Chicago Cubs
2,Chicago White Sox,Saint Louis Cardinals
2,Chicago White Sox,Chicago Cubs
2,Chicago White Sox,New York Mets
2,Boston Red Sox,Arizona Diamondbacks
2,Boston Red Sox,Los Angeles Angels
2,Boston Red Sox,Philadelphia Phillies
2,Miami Marlins,Seattle Mariners
2,Miami Marlins,Cincinnati Reds
2,Miami Marlins,San Francisco Giants
2,Toronto Blue Jays,Detroit Tigers
2,Toronto Blue Jays,New York Mets
2,Toronto Blue Jays,Colorado Rockies
2,Tampa Bay Rays,Seattle Mariners
2,Tampa Bay Rays,Texas Rangers
2,Tampa Bay Rays,San Francisco Giants
2,Pittsburgh Pirates,Arizona Diamondbacks
2,Pittsburgh Pirates,New York Yankees
2,Pittsburgh Pirates,Los Angeles Angels
2,Los Angeles Dodgers,Arizona Diamondbacks
2,San Diego Padres,Kansas City Royals
2,San Diego Padres,Texas Rangers
2,San Diego Padres,Houston Astros
2,Atlanta Braves,Milwaukee Brewers
2,Atlanta Braves,Houston Astros
2,Atlanta Braves,Saint Louis Cardinals
2,Athletics,Detroit Tigers
2,Athletics,Los Angeles Dodgers
2,Athletics,Colorado Rockies
2,Cleveland Guardians,Chicago Cubs
2,Cleveland Guardians,New York Mets
2,Cleveland Guardians,Colorado Rockies
3,Seattle Mariners,Kansas City Royals
3,Seattle Mariners,Texas Rangers
3,Seattle Mariners,San Francisco Giants
3,Milwaukee Brewers,San Diego Padres
3,Saint Louis Cardinals,Milwaukee Brewers
3,Saint Louis Cardinals,Houston Astros
3,Saint Louis Cardinals,San Diego Padres
3,Arizona Diamondbacks,Baltimore Orioles
3,Arizona Diamondbacks,Minnesota Twins
3,Arizona Diamondbacks,Miami Marlins
3,New York Yankees,Baltimore Orioles
3,New York Yankees,Minnesota Twins
3,New York Yankees,Boston Red Sox
3,Los Angeles Angels,Minnesota Twins
3,Los Angeles Angels,Miami Marlins
3,Los Angeles Angels,Tampa Bay Rays
3,Philadelphia Phillies,Kansas City Royals
3,Philadelphia Phillies,Miami Marlins
3,Philadelphia Phillies,Tampa Bay Rays
3,Boston Red Sox,Toronto Blue Jays
3,Detroit Tigers,Washington Nationals
3,Detroit Tigers,Chicago White Sox
3,Detroit Tigers,Cleveland Guardians
3,Chicago Cubs,Milwaukee Brewers
3,Chicago Cubs,Houston Astros
3,Chicago Cubs,Atlanta Braves
3,New York Mets,Houston Astros
3,New York Mets,Washington Nationals
3,New York Mets,Atlanta Braves
3,Pittsburgh Pirates,Toronto Blue Jays
3,Pittsburgh Pirates,Athletics
3,Pittsburgh Pirates,Cleveland Guardians
3,Cincinnati Reds,Kansas City Royals
3,Cincinnati Reds,Texas Rangers
3,Cincinnati Reds,Tampa Bay Rays
3,Los Angeles Dodgers,Chicago White Sox
3,Los Angeles Dodgers,Toronto Blue Jays
3,Los Angeles Dodgers,Cleveland Guardians
3,Colorado Rockies,Washington Nationals
3,Colorado Rockies,Chicago White Sox
3,Colorado Rockies,Atlanta Braves
3,Athletics,Baltimore Orioles
3,Athletics,Boston Red Sox
3,San Francisco Giants,Texas Rangers
3,San Francisco Giants,San Diego Padres
4,Seattle Mariners,Philadelphia Phillies
4,Seattle Mariners,Cincinnati Reds
4,Kansas City Royals,Arizona Diamondbacks
4,Kansas City Royals,New York Yankees
4,Kansas City Royals,Los Angeles Angels
4,Texas Rangers,Arizona Diamondbacks
4,Texas Rangers,Los Angeles Angels
4,Texas Rangers,Philadelphia Phillies
4,Baltimore Orioles,Toronto Blue Jays
4,Milwaukee Brewers,Detroit Tigers
4,Milwaukee Brewers,New York Mets
4,Milwaukee Brewers,Colorado Rockies
4,Houston Astros,Detroit Tigers
4,Houston Astros,Los Angeles Dodgers
4,Houston Astros,Colorado Rockies
4,Saint Louis Cardinals,Chicago Cubs
4,Saint Louis Cardinals,New York Mets
4,Saint Louis Cardinals,Colorado Rockies
4,Minnesota Twins,Toronto Blue Jays
4,Minnesota Twins,Athletics
4,Minnesota Twins,Cleveland Guardians
4,Washington Nationals,Boston Red Sox
4,Washington Nationals,Pittsburgh Pirates
4,Washington Nationals,Los Angeles Dodgers
4,Chicago White Sox,Baltimore Orioles
4,Chicago White Sox,Boston Red Sox
4,Chicago White Sox,Pittsburgh Pirates
4,Chicago Cubs,New York Mets
4,Miami Marlins,New York Yankees
4,Miami Marlins,Toronto Blue Jays
4,Miami Marlins,Athletics
4,Tampa Bay Rays,Arizona Diamondbacks
