#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2
1,Adam Ottavino,493603,1247,1247,7037,*01sgi*,BOS,RP,RP,Ottavino,Adam,Ottavino,Adam
2,Matt Moore,519043,1890,1890,8029,*01fug*,BOS,RP,RP,Moore,Matt,Moore,Matt
3,Clayton Kershaw,477132,2036,2036,7150,*005ih*,LAD,SP,SP,Kershaw,Clayton,Kershaw,Clayton
4,David Peralta,444482,2136,2136,8801,*03d1m*,FA,OF,OF,Peralta,David,,
5,Carlos Santana,467793,2396,2396,7514,*01cfr*,CLE,1B,1B,Santana,Carlos,Santana,Carlos
6,Cory Rasmus,474284,2413,,8492,,TB,RP,RP,Rasmus,Cory,Rasmus,Cory
7,Lance Lynn,458681,2520,2520,7766,*01s94*,FA,SP,SP,Lynn,Lance,,
8,Tommy Pham,502054,2967,2967,8919,*025fx*,PIT,OF,OF,Pham,Tommy,Pham,Tommy
9,Kenley Jansen,445276,3096,3096,7931,*01svz*,LAA,RP,RP,Jansen,Kenley,Jansen,Kenley
10,Max Scherzer,453286,3137,3137,6837,*004ee*,TOR,SP,SP,Scherzer,Max,Scherzer,Max
11,T.J. McFarland,519008,3237,3237,8445,*02nho*,ATH,RP,RP,McFarland,T.J.,McFarland,T.J.
12,Anthony Rizzo,519203,3473,3473,8018,*01sea*,FA,1B,1B,Rizzo,Anthony,,
13,Liam Hendriks,521230,3548,3548,8170,*01ub8*,BOS,RP,RP,Hendriks,Liam,Hendriks,Liam
14,Justin Wilson,458677,4301,4301,8007,*025ko*,BOS,RP,RP,Wilson,Justin,Wilson,Justin
15,Charlie Morton,450203,4676,4676,6918,*005jn*,BAL,SP,SP,Morton,Charlie,Morton,Charlie
16,Jason Heyward,518792,4940,4940,7112,*01c5o*,SD,OF,OF,Heyward,Jason,Heyward,Jason
17,Giancarlo Stanton,519317,4949,4949,7789,*01cdf*,NYY,DH,DH,Stanton,Giancarlo,Stanton,Giancarlo
18,Fernando Abad,472551,4994,4994,7932,,COL,RP,RP,Abad,Fernando,,
19,Jake Diekman,518617,5003,5003,8282,*02iya*,ATL,RP,RP,Diekman,Jake,Diekman,Jake
20,Anthony Gose,543238,5097,5097,7938,*01sha*,NYM,RP,RP,Gose,Anthony,Gose,Anthony
21,Justin Turner,457759,5235,5235,7742,*01lum*,CHC,1B,1B/3B,Turner,Justin,Turner,Justin
22,Robbie Grossman,543257,5254,5254,8471,*01seb*,FA,OF,OF,Grossman,Robbie,,
23,Sandy Leon,506702,5273,5273,8285,*02jtq*,ATL,C,C,Leon,Sandy,León,Sandy
24,Aaron Hicks,543305,5297,5297,7535,*01cgr*,FA,OF,OF,Hicks,Aaron,,
25,Brandon Crawford,543063,5343,5343,8076,*01sdl*,FA,SS,SS/3B,Crawford,Brandon,,
26,Freddie Freeman,518692,5361,5361,7793,*01cgo*,LAD,1B,1B,Freeman,Freddie,Freeman,Freddie
27,Jose Altuve,514888,5417,5417,8116,*024m0*,HOU,2B,2B,Altuve,Jose,Altuve,Jose
28,Jesse Chavez,445926,5448,5448,6704,*013ip*,TEX,RP,RP,Chavez,Jesse,Chavez,Jesse
29,Abraham Almonte,501659,5486,5486,8591,,NYM,OF,OF,Almonte,Abraham,,
30,Kyle Higashioka,543309,5517,5517,9470,*01usr*,TEX,C,C,Higashioka,Kyle,Higashioka,Kyle
31,Ryan Brasier,518489,5615,5615,8481,*021jb*,CHC,RP,RP,Brasier,Ryan,Brasier,Ryan
32,Avisail Garcia,541645,5760,5760,8378,*01urw*,FA,OF,OF,Garcia,Avisail,,
33,Wilmer Flores,527038,5827,5827,7538,*01cgt*,SF,1B,1B,Flores,Wilmer,Flores,Wilmer
34,Leury Garcia,544725,5913,5913,8440,,ATL,2B,2B/SS/ 3B/OF,Garcia,Leury,Garcia,Leury
35,J.D. Martinez,502110,6184,6184,8122,*02334*,FA,DH,DH,Martinez,J.D.,,
36,Alex Cobb,502171,6562,6562,8058,*01seh*,DET,SP,SP,Cobb,Alex,Cobb,Alex
37,Carlos Carrasco,471911,6632,6632,7183,*01as6*,NYY,SP,SP,Carrasco,Carlos,Carrasco,Carlos
38,Craig Kimbrel,518886,6655,6655,7760,*01scl*,FA,RP,RP,Kimbrel,Craig,,
39,Alex Colome,517008,6661,6661,8505,,CHW,RP,RP,Colome,Alex,,
40,Julio Teheran,527054,6797,6797,7404,*01cih*,NYM,SP,SP,Teheran,Julio,,
41,Martin Maldonado,455117,6887,6887,8159,*021t6*,SD,C,C,Maldonado,Martin,Maldonado,Martín
42,Chase Anderson,502624,6895,6895,8781,*026k6*,TEX,RP,RP,Anderson,Chase,,
43,Martin Perez,527048,6902,6902,7791,*01fhm*,CHW,SP,SP,Perez,Martin,Pérez,Martín
44,Luis Garcia,472610,6984,6984,8542,*0321h*,LAD,RP,RP,Garcia,Luis,García,Luis
45,Ryan Pressly,519151,7005,7005,8452,*02zif*,CHC,RP,RP,Pressly,Ryan,Pressly,Ryan
46,Salvador Perez,521692,7304,7304,8134,*01u75*,KC,C/1B,C/1B,Perez,Salvador,Perez,Salvador
