#,Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,ADP
1,Aaron Judge,NYY,159,686,564,169,28,1,57,118,147,113,174,6,9,2,16.40%,25.30%,0.358,0.332,0.3,0.419,0.658,1.077,0.448,199,3.4
2,Bobby Witt Jr.,KCR,159,686,622,190,39,8,33,110,104,51,110,6,36,10,7.40%,16.10%,0.247,0.325,0.306,0.361,0.553,0.914,0.386,151,1.5
3,Julio Rodríguez,SEA,157,679,615,177,31,2,32,91,101,51,161,9,32,7,7.40%,23.60%,0.214,0.339,0.288,0.348,0.502,0.85,0.363,145,13.7
4,Gunnar Henderson,BAL,157,679,592,163,34,7,32,111,103,75,159,5,18,4,11.10%,23.40%,0.24,0.323,0.276,0.359,0.516,0.875,0.372,148,6.2
5,Juan Soto,NYM,159,686,549,159,30,2,37,116,111,129,109,3,10,5,18.70%,15.90%,0.264,0.299,0.289,0.423,0.553,0.976,0.415,173,7.7
6,Shohei Ohtani,LAD,151,651,563,164,31,5,47,120,134,79,149,5,35,10,12.10%,22.80%,0.32,0.316,0.291,0.38,0.611,0.991,0.415,171,1.6
7,Yordan Alvarez,HOU,141,609,523,161,32,2,39,97,112,72,102,10,5,1,11.80%,16.70%,0.293,0.316,0.309,0.399,0.601,1,0.42,181,17.8
8,Vladimir Guerrero Jr.,TOR,157,679,596,183,38,1,34,97,109,71,91,6,6,2,10.50%,13.40%,0.236,0.314,0.308,0.384,0.544,0.928,0.395,163,14
9,Fernando Tatis Jr.,SDP,152,658,591,166,33,2,37,88,106,57,141,6,22,5,8.60%,21.50%,0.251,0.308,0.281,0.347,0.531,0.878,0.373,144,10.9
10,Ronald Acuña Jr.,ATL,128,553,478,146,28,2,29,90,97,63,99,8,40,11,11.30%,17.80%,0.248,0.33,0.305,0.392,0.553,0.945,0.402,159,31.9
11,Mookie Betts,LAD,157,679,592,160,32,3,28,102,101,76,96,6,15,4,11.10%,14.10%,0.207,0.28,0.271,0.357,0.478,0.835,0.36,133,12.4
12,Elly De La Cruz,CIN,154,665,599,155,32,8,30,100,93,57,205,4,54,12,8.50%,30.90%,0.232,0.339,0.259,0.324,0.491,0.815,0.347,117,4.6
13,Austin Riley,ATL,157,679,608,171,34,2,36,102,120,55,162,10,2,1,8.20%,23.80%,0.243,0.323,0.281,0.347,0.523,0.87,0.37,137,30
14,José Ramírez,CLE,156,672,600,161,35,3,27,84,88,63,83,3,34,8,9.40%,12.30%,0.207,0.27,0.269,0.339,0.476,0.814,0.349,131,5.1
15,Francisco Lindor,NYM,159,686,611,155,30,2,28,90,95,59,130,10,24,7,8.70%,18.90%,0.195,0.277,0.254,0.328,0.449,0.777,0.335,119,15
16,Cal Raleigh,SEA,146,584,517,122,25,1,31,74,91,58,158,4,4,2,10.00%,27.10%,0.232,0.274,0.236,0.316,0.468,0.784,0.336,126,87.8
17,Kyle Tucker,CHC,154,665,576,160,33,3,30,94,95,80,98,3,24,4,12.10%,14.70%,0.224,0.286,0.277,0.365,0.501,0.866,0.37,141,8.1
18,William Contreras,MIL,156,626,552,153,31,2,25,79,83,66,132,4,7,2,10.50%,21.10%,0.2,0.319,0.277,0.356,0.477,0.833,0.358,130,24.3
19,Michael Harris II,ATL,146,630,582,168,33,4,25,92,95,36,122,6,20,4,5.80%,19.40%,0.195,0.326,0.289,0.335,0.484,0.819,0.35,124,38.2
20,Corey Seager,TEX,126,546,486,137,26,1,28,72,84,52,93,4,3,1,9.50%,17.00%,0.232,0.295,0.282,0.353,0.514,0.867,0.37,144,49.2
21,Manny Machado,SDP,151,651,593,163,30,1,32,78,95,52,123,2,9,3,8.00%,19.00%,0.217,0.295,0.274,0.332,0.491,0.823,0.351,130,38.3
22,Mike Trout,LAA,120,518,448,120,21,2,32,78,88,60,136,7,10,2,11.60%,26.20%,0.276,0.309,0.267,0.36,0.544,0.904,0.383,152,122.8
23,Bryce Harper,PHI,154,665,572,158,35,1,32,94,105,84,144,4,11,4,12.60%,21.70%,0.233,0.316,0.277,0.371,0.51,0.881,0.377,143,22.8
24,Corbin Carroll,ARI,156,672,583,154,30,10,23,113,82,69,130,11,39,8,10.30%,19.30%,0.207,0.299,0.263,0.349,0.47,0.82,0.352,125,9.3
25,Willy Adames,SFG,156,672,599,151,35,1,28,80,91,66,163,3,14,5,9.90%,24.30%,0.201,0.299,0.252,0.327,0.453,0.78,0.336,118,92.9
26,Rafael Devers,BOS,157,679,599,165,37,2,32,92,103,67,145,7,5,2,9.90%,21.30%,0.229,0.311,0.275,0.352,0.504,0.857,0.366,135,35.3
27,Matt Chapman,SFG,157,679,597,145,34,3,29,86,94,70,182,8,10,3,10.30%,26.80%,0.213,0.296,0.242,0.327,0.455,0.783,0.337,119,130.2
28,Riley Greene,DET,147,637,565,156,28,6,24,90,77,62,164,5,8,2,9.80%,25.70%,0.201,0.344,0.275,0.349,0.476,0.825,0.354,134,108
29,Carlos Correa,MIN,130,560,493,136,28,2,21,73,74,58,107,4,2,1,10.40%,19.20%,0.194,0.31,0.275,0.354,0.469,0.823,0.355,134,244
30,Junior Caminero,TBR,141,609,566,155,27,3,30,78,90,34,135,4,3,1,5.50%,22.10%,0.217,0.308,0.274,0.317,0.491,0.807,0.344,130,75.3
31,Oneil Cruz,PIT,146,630,565,149,31,4,31,81,88,56,180,4,20,4,8.90%,28.60%,0.231,0.329,0.264,0.332,0.495,0.826,0.352,124,43.6
32,Ketel Marte,ARI,147,637,563,153,32,3,25,88,87,64,113,5,7,2,10.00%,17.70%,0.205,0.298,0.272,0.349,0.478,0.827,0.355,127,32.4
33,Dansby Swanson,CHC,157,679,612,149,28,2,22,76,76,58,166,4,16,4,8.60%,24.50%,0.159,0.296,0.243,0.311,0.402,0.713,0.311,101,174.5
34,Adley Rutschman,BAL,146,586,510,131,26,1,16,72,65,68,93,3,3,1,11.60%,15.90%,0.151,0.283,0.257,0.345,0.407,0.752,0.33,118,64.9
35,Bo Bichette,TOR,144,623,576,163,32,2,19,75,76,39,115,4,11,3,6.20%,18.50%,0.159,0.323,0.283,0.33,0.442,0.772,0.333,119,127.4
