#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
1,Tarik Skubal,DET,32,32,200,16,8,22,0,0,159,61,19,230,46,10.34,2.05,5.05,0.83,0.214,1.02,0.283,77.20%,2.74,2.87,14.1
2,Paul Skenes,PIT,31,31,173,16,7,22,0,0,131,49,14,220,50,11.46,2.58,4.44,0.72,0.205,1.05,0.289,78.90%,2.55,2.64,11.5
3,Zack Wheeler,PHI,32,32,205,15,9,20,0,0,168,73,24,222,54,9.79,2.35,4.16,1.07,0.218,1.08,0.274,75.70%,3.21,3.44,21.5
4,Garrett Crochet,BOS,31,31,156,14,8,19,0,0,126,52,15,202,47,11.65,2.69,4.33,0.88,0.217,1.11,0.304,76.40%,3.01,2.87,24.7
5,Chris Sale,ATL,31,31,181,14,8,20,0,0,149,63,20,217,50,10.81,2.51,4.3,0.98,0.219,1.1,0.291,76.20%,3.12,3.14,36.4
6,Logan Webb,SFG,32,32,204,14,9,19,0,0,198,78,16,177,45,7.84,1.98,3.97,0.72,0.251,1.19,0.305,71.40%,3.46,3.24,99.4
7,Logan Gilbert,SEA,32,32,198,14,9,20,0,0,165,70,24,207,44,9.37,1.99,4.7,1.07,0.22,1.05,0.272,75.50%,3.17,3.41,26.2
8,Framber Valdez,HOU,29,29,182,12,8,18,0,0,162,68,15,179,58,8.84,2.88,3.07,0.74,0.234,1.21,0.295,73.40%,3.34,3.36,62.8
9,Dylan Cease,SDP,32,32,187,14,9,20,0,0,147,69,22,221,71,10.61,3.41,3.11,1.04,0.211,1.16,0.275,76.00%,3.31,3.58,47.8
10,Pablo López,MIN,32,32,194,13,10,18,0,0,179,80,24,199,50,9.22,2.32,3.98,1.11,0.24,1.18,0.296,72.20%,3.72,3.62,71.3
11,Cole Ragans,KCR,31,31,178,13,9,18,0,0,152,69,18,197,66,10,3.34,2.99,0.92,0.227,1.23,0.294,74.10%,3.49,3.52,47.1
