#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
1,Tarik Skubal,DET,32,32,200,16,8,22,0,0,159,61,19,230,46,10.34,2.05,5.05,0.83,0.214,1.02,0.283,77.20%,2.74,2.87,13.9
2,Paul Skenes,PIT,31,31,173,16,7,22,0,0,131,49,14,220,50,11.46,2.58,4.44,0.72,0.205,1.05,0.289,78.90%,2.55,2.64,11.3
3,Zack Wheeler,PHI,32,32,205,15,9,20,0,0,168,73,24,222,54,9.79,2.35,4.16,1.07,0.218,1.08,0.274,75.70%,3.21,3.44,21.1
4,Garrett Crochet,BOS,31,31,156,14,8,19,0,0,126,52,15,202,47,11.65,2.69,4.33,0.88,0.217,1.11,0.304,76.40%,3.01,2.87,25.3
5,Chris Sale,ATL,31,31,181,14,8,20,0,0,149,63,20,217,50,10.81,2.51,4.3,0.98,0.219,1.1,0.291,76.20%,3.12,3.14,36.3
6,Logan Webb,SFG,32,32,204,14,9,19,0,0,198,78,16,177,45,7.84,1.98,3.97,0.72,0.251,1.19,0.305,71.40%,3.46,3.24,99.5
7,Logan Gilbert,SEA,32,32,198,14,9,20,0,0,165,70,24,207,44,9.37,1.99,4.7,1.07,0.22,1.05,0.272,75.50%,3.17,3.41,26.1
8,Framber Valdez,HOU,29,29,182,12,8,18,0,0,162,68,15,179,58,8.84,2.88,3.07,0.74,0.234,1.21,0.295,73.40%,3.34,3.36,61
9,Dylan Cease,SDP,32,32,187,14,9,20,0,0,147,69,22,221,71,10.61,3.41,3.11,1.04,0.211,1.16,0.275,76.00%,3.31,3.58,47.1
10,Cole Ragans,KCR,31,31,178,13,9,18,0,0,152,69,18,197,66,10,3.34,2.99,0.92,0.227,1.23,0.294,74.10%,3.49,3.52,48.7
11,Pablo López,MIN,32,32,194,13,10,18,0,0,179,80,24,199,50,9.22,2.32,3.98,1.11,0.24,1.18,0.296,72.20%,3.72,3.62,67.5
12,George Kirby,SEA,31,31,178,13,9,19,0,0,160,65,21,172,28,8.71,1.41,6.18,1.08,0.232,1.06,0.28,74.20%,3.28,3.37,44.8
13,Tyler Glasnow,LAD,24,24,142,11,6,16,0,0,108,46,15,172,43,10.9,2.74,3.97,0.94,0.207,1.06,0.278,77.20%,2.94,3.15,98.2
14,Aaron Nola,PHI,31,31,187,12,10,17,0,0,170,77,25,186,44,8.95,2.14,4.18,1.19,0.237,1.15,0.287,72.40%,3.72,3.73,87.4
15,Sandy Alcantara,MIA,29,29,191,12,9,17,0,0,184,79,20,165,43,7.77,2.02,3.84,0.97,0.248,1.19,0.294,71.00%,3.72,3.63,162.8
16,Corbin Burnes,ARI,31,31,187,13,9,19,0,0,163,71,19,187,54,9,2.62,3.44,0.92,0.231,1.17,0.288,73.40%,3.42,3.49,37.6
17,Gerrit Cole,NYY,31,31,182,13,9,18,0,0,151,69,24,201,52,9.98,2.59,3.85,1.21,0.218,1.12,0.271,75.50%,3.43,3.69,59.6
18,Max Fried,NYY,29,29,175,12,9,17,0,0,154,66,17,164,52,8.44,2.67,3.16,0.87,0.232,1.18,0.283,73.30%,3.41,3.57,99.2
19,Cristopher Sánchez,PHI,29,29,172,12,9,17,0,0,163,70,16,152,48,7.95,2.49,3.19,0.84,0.246,1.23,0.297,71.50%,3.64,3.57,173.2
20,Yoshinobu Yamamoto,LAD,28,28,160,12,8,16,0,0,134,61,17,167,46,9.39,2.58,3.64,0.98,0.227,1.12,0.288,72.90%,3.41,3.47,58.2
21,Sonny Gray,STL,31,31,180,13,9,18,0,0,161,72,20,181,51,9.09,2.58,3.53,0.99,0.237,1.18,0.296,72.30%,3.62,3.56,110.8
22,Blake Snell,LAD,29,29,161,13,8,18,0,0,120,59,18,206,71,11.53,3.99,2.89,1.02,0.203,1.19,0.277,76.80%,3.27,3.55,45.7
23,Jacob deGrom,TEX,26,26,132,12,7,16,0,0,99,44,16,160,33,10.97,2.24,4.9,1.1,0.207,1,0.275,76.70%,3.01,3.18,44.9
24,Hunter Greene,CIN,29,29,170,12,9,17,0,0,135,68,24,202,63,10.68,3.32,3.21,1.28,0.212,1.16,0.27,75.10%,3.61,3.88,94.6
25,Hunter Brown,HOU,29,29,167,12,9,17,0,0,149,66,17,177,59,9.57,3.16,3.03,0.91,0.233,1.24,0.297,73.70%,3.56,3.55,97.9
26,Roki Sasaki,LAD,24,24,135,11,7,14,0,0,112,53,17,169,39,11.26,2.62,4.3,1.15,0.223,1.12,0.3,74.10%,3.5,3.38,97.3
27,Brandon Woodruff,MIL,26,26,153,11,7,16,0,0,127,56,20,173,40,10.24,2.38,4.29,1.2,0.217,1.09,0.273,76.20%,3.32,3.54,240.1
28,Justin Steele,CHC,29,29,167,12,9,17,0,0,151,66,18,162,45,8.72,2.45,3.57,0.96,0.238,1.18,0.292,72.60%,3.56,3.56,120.9
29,Spencer Strider,ATL,21,21,119,10,5,14,0,0,91,39,13,160,37,12.04,2.79,4.31,1.01,0.205,1.07,0.287,78.00%,2.96,3.01,112.3
30,Yusei Kikuchi,LAA,31,31,168,12,10,17,0,0,148,71,23,188,55,10.09,2.97,3.4,1.22,0.231,1.21,0.291,73.30%,3.81,3.8,158.8
