#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
1,Tarik Skubal,DET,10,4,2.47,20,20,0,0,,119,478,92,36,33,11,25,,5,148
2,Paul Skenes,PIT,9,4,2.75,19,19,0,0,,107,438,86,36,33,9,30,,4,128
3,Zack Wheeler,PHI,9,5,3.1,20,20,0,0,,125,510,101,47,43,15,33,,5,142
4,Logan Webb,SFG,9,6,3.28,20,20,0,0,,123,510,117,49,45,10,27,,5,117
5,Garrett Crochet,BOS,8,5,3.12,19,19,0,0,,97,396,79,37,34,10,30,,4,122
6,Chris Sale,ATL,9,5,3.24,19,19,0,0,,114,464,95,45,41,13,31,,5,136
7,Framber Valdez,HOU,8,6,3.36,19,19,0,0,,119,499,106,49,45,10,38,,5,119
8,Max Fried,NYY,8,6,3.36,19,19,0,0,,115,477,101,47,43,11,33,,5,111
9,Hunter Brown,HOU,8,5,3.3,19,19,0,0,,108,456,92,43,40,11,37,,5,124
10,Cole Ragans,KCR,7,5,3.47,18,18,0,0,,105,444,91,44,41,11,38,,5,124
11,Spencer Strider,ATL,8,5,3.21,17,17,0,0,,100,409,78,39,36,12,32,,4,132
12,Cristopher Sánchez,PHI,8,6,3.47,23,18,0,0,,108,454,99,46,42,10,32,,5,106
13,Yoshinobu Yamamoto,LAD,8,5,3.23,17,17,0,0,,99,401,81,39,35,10,31,,4,107
14,Dylan Cease,SDP,9,6,3.44,20,20,0,0,,115,476,93,48,44,14,42,,5,134
15,Logan Gilbert,SEA,8,5,3.13,17,17,0,0,,103,421,86,39,36,12,23,,4,110
16,George Kirby,SEA,8,5,3.37,18,18,0,0,,106,434,97,43,40,13,17,,4,101
17,Hunter Greene,CIN,7,5,3.29,17,17,0,0,,96,399,73,38,35,13,34,,4,121
18,Kevin Gausman,TOR,8,7,3.81,20,20,0,0,,117,493,108,54,49,15,34,,5,121
19,Sonny Gray,STL,8,6,3.7,19,19,0,0,,114,471,105,51,47,13,31,,5,114
20,Jacob deGrom,TEX,7,5,3.26,17,17,0,0,,89,353,71,35,32,11,23,,4,98
21,Joe Ryan,MIN,7,6,3.6,18,18,0,0,,103,424,89,45,41,16,23,,4,113
22,MacKenzie Gore,WSN,7,6,3.88,19,19,0,0,,105,445,95,50,45,13,38,,5,119
23,Spencer Schwellenbach,ATL,8,6,3.58,19,19,0,0,,110,455,100,48,44,13,27,,4,107
24,Clay Holmes,NYM,4,3,3.44,23,17,0,0,,110,473,100,46,42,9,40,,5,108
25,Aaron Nola,PHI,7,5,3.86,17,17,0,0,,105,438,98,49,45,14,27,,4,105
26,Carlos Rodón,NYY,7,6,3.75,19,19,0,0,,110,464,92,50,46,16,39,,5,127
27,Sandy Alcantara,MIA,7,6,3.87,18,18,0,0,,115,481,108,54,50,12,36,,5,103
28,Nathan Eovaldi,TEX,6,5,3.66,16,16,0,0,,94,389,85,42,38,11,26,,4,91
29,Bryan Woo,SEA,8,5,3.29,18,18,0,0,,97,399,83,39,36,12,22,,4,97
30,Seth Lugo,KCR,7,7,4.23,19,19,0,0,,118,501,119,60,55,15,33,,5,101
31,Jesús Luzardo,PHI,4,3,3.72,22,16,0,0,,95,399,85,43,39,12,30,,4,105
32,Mitch Keller,PIT,7,6,4.07,19,19,0,0,,111,474,111,55,50,13,32,,5,101
33,Jack Flaherty,DET,7,6,3.77,18,18,0,0,,99,417,89,45,41,12,32,,4,107
