team,fptsf,weeks played
Washington Nationals,20036.499,19
Saint Louis Cardinals,20189.493,19
Detroit Tigers,19725.498,19
Kansas City Royals,18917.499,19
Philadelphia Phillies,18322.500,19
Milwaukee Brewers,18579.000,19
Chicago Cubs,17890.497,19
Pittsburgh Pirates,17779.503,19
San Diego Padres,17162.997,19
Atlanta Braves,17200.002,19
New York Yankees,17875.989,19
Athletics,17535.507,19
Seattle Mariners,16468.500,19
Texas Rangers,15944.004,19
Los Angeles Dodgers,16217.997,19
New York Mets,15998.499,19
Chicago White Sox,15744.003,19
Cleveland Guardians,14029.503,19
Houston Astros,14839.995,19
Tampa Bay Rays,15018.000,19
San Francisco Giants,13934.496,19
Toronto Blue Jays,13968.000,19
Miami Marlins,14154.003,19
Arizona Diamondbacks,13329.495,19
Los Angeles Angels,13659.003,19
Minnesota Twins,13488.996,19
Colorado Rockies,12793.995,19
Baltimore Orioles,13120.503,19
Cincinnati Reds,10818.498,19
Boston Red Sox,11655.003,19
